Date,Date.1,Local_Institutes_buy,Local_Institutes_sell,Local_Institutes_net,Proprietary_Trading_buy,Proprietary_Trading_sell,Proprietary_Trading_net,Foreign_Investors_buy,Foreign_Investors_sell,Foreign_Investors_net,Local Investors,Unnamed: 11,Unnamed: 12,Open,High,Low,Close,Adj Close,Volume,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_Adjclose,Gold_Volume,Dji_Open,Dji_High,Dji_Low,Dji_Close,Dji_Adjclose,Dji_Volume,ADX,Aroon_Oscillator,Stoch_Oscillator,MACD,RSI,ichimoku_a,ichimoku_b,ichimoku_base_line,ichimoku_conversion_line,parabolic_sar,EMA_10,EMA_20,EMA_50,EMA_100,bb_bbm,bb_bbh,bb_bbl
12/21/2017,12/21/2017 0:00,3806.41525,3113.840677,692.5745722,4590.259387,4253.852706,336.4066815,13542.16047,12982.22,559.9404665,14166.96794,15755.88966,-1588.92172,1739.540039,1742.040039,1734.72998,1736.910034,1736.910034,7658000.0,1266.400024,1267.400024,1264.300049,1267.300049,1267.300049,226.0,1266.400024,1267.400024,1264.300049,1267.300049,1267.300049,226.0,12.454238053720358,100.0,90.84255041041672,6.953066947369507,68.74629194409889,1716.1475217500001,1711.285034,1711.285034,1721.0100095,1698.48077642675,1721.9374198486819,1714.685629235783,1710.5027201731032,1710.2638206203753,1709.9385071000002,1736.496811615643,1683.3802025843572
12/22/2017,12/22/2017 0:00,4058.727835,3629.714169,429.0136664,5020.285661,4758.751781,261.53388,12569.66248,11775.93606,793.7264284,18467.18775,19951.46173,-1484.273975,1739.060059,1744.209961,1736.26001,1742.079956,1742.079956,6739000.0,1266.300049,1276.300049,1266.300049,1275.400024,1275.400024,119.0,1266.300049,1276.300049,1266.300049,1275.400024,1275.400024,119.0,13.693007347214843,100.0,96.33956494302,8.21650686164935,71.0553735616868,1718.3049620000002,1712.369995,1714.5149535,1722.0949705,1703.70788793554,1725.5996991489214,1717.294612737137,1711.741043146707,1710.8938431031402,1711.5185059,1741.5503866737974,1681.4866251262026
12/26/2017,12/26/2017 0:00,5445.149297,4300.571057,1144.57824,6674.651532,6088.107342,586.5441899,11006.7275,12236.33828,-1229.610775,25967.8494,26469.36105,-501.5116549,1751.050049,1754.680054,1743.27002,1752.47998,1752.47998,7939500.0,1282.400024,1284.099976,1281.800049,1284.099976,1284.099976,84.0,1282.400024,1284.099976,1281.800049,1284.099976,1284.099976,84.0,15.452804888422849,48.0,96.79569922729742,9.942377576692934,75.04894676618059,1724.490021,1717.6050415,1720.350037,1728.630005,1709.3781781645644,1730.4870229400265,1720.645600095505,1713.338648513503,1711.7173309624839,1713.4860046500003,1748.435664787199,1678.5363445128016
12/27/2017,12/27/2017 0:00,6410.386283,4168.756811,2241.629472,7088.070055,7234.354472,-146.2844172,13078.899,13593.47627,-514.5772698,34930.17152,36510.93931,-1580.767785,1756.160034,1763.359985,1751.97998,1752.890015,1752.890015,9975300.0,1284.0,1287.0,1284.0,1287.0,1287.0,456.0,1284.0,1287.0,1284.0,1287.0,1287.0,456.0,17.518130220530793,52.0,86.46240659664109,11.213961383901733,75.19426398894613,1730.057495,1721.945007,1724.6900025,1735.4249875,1716.6264782982341,1734.5602942236578,1723.716496753076,1714.8896824933656,1712.5326316364942,1716.3385071,1754.2488003344474,1678.4282138655526
12/28/2017,12/28/2017 0:00,7741.230254,6647.760796,1093.469458,7877.985827,10125.17235,-2247.186522,18058.11523,18414.61778,-356.5025443,28020.29215,26510.07255,1510.219608,1755.550049,1756.640015,1734.699951,1743.290039,1743.290039,9174400.0,1288.199951,1294.099976,1288.199951,1294.099976,1294.099976,245.0,1288.199951,1294.099976,1288.199951,1294.099976,1294.099976,245.0,17.64708700367067,52.0,72.47677744133001,11.316612020502134,65.56613902614222,1730.4750060000001,1721.945007,1724.6900025,1736.2600095,1725.038509504552,1736.147520546629,1725.5806436337352,1716.0034219642139,1713.1416892080488,1718.71950685,1757.1168197097809,1680.3221939902191
12/29/2017,12/29/2017 0:00,9248.68265,8555.603942,693.0787085,4191.241662,4493.700677,-302.4590146,14330.54718,11988.75609,2341.791095,17600.22463,20332.63542,-2732.410789,1747.579956,1753.72998,1745.77002,1753.709961,1753.709961,6909900.0,1294.199951,1306.300049,1294.0,1306.300049,1306.300049,65.0,1294.199951,1306.300049,1294.0,1306.300049,1306.300049,65.0,17.766832588014843,52.0,84.7743401093136,12.09929091789013,70.04892876963535,1732.5174865,1721.945007,1724.6900025,1740.3449705,1731.9363750937325,1739.340691538151,1728.2596262400461,1717.482109769539,1713.945021322741,1721.0790038999999,1761.9101881833394,1680.2478196166603
1/3/2018,1/3/2018 0:00,12029.97122,9924.519654,2105.451569,9797.85553,10026.38482,-228.5292868,31525.35631,28830.56846,2694.78785,32497.30853,37069.01866,-4571.710132,1759.609985,1779.550049,1758.069946,1778.530029,1778.530029,12689600.0,1320.0,1320.099976,1312.099976,1316.199951,1316.199951,42.0,1320.0,1320.099976,1312.099976,1316.199951,1316.199951,42.0,19.209961129692722,64.0,98.718085816917,14.554565667491488,77.54713777468957,1742.985016,1730.040039,1732.7850345,1753.1849975,1734.699951,1746.4660256221234,1733.0472836457561,1719.8761458177923,1715.223932365855,1724.73900755,1771.899591284352,1677.578423815648
1/4/2018,1/4/2018 0:00,13398.93116,9916.061091,3482.870074,10160.30691,10512.40138,-352.0944609,28252.20655,29327.00566,-1074.79911,39005.50518,41061.48168,-2055.976503,1786.640015,1791.390015,1779.280029,1791.02002,1791.02002,13110700.0,1319.400024,1322.0,1319.400024,1319.400024,1319.400024,2.0,1319.400024,1322.0,1319.400024,1319.400024,1319.400024,2.0,21.00392077378935,68.0,99.58338615674153,17.308702537777663,80.22944154743452,1749.4025272499998,1735.960022,1738.7050175,1760.100037,1743.6699706,1754.5667518726464,1738.5684966318747,1722.666101668075,1716.7248449922738,1729.4205078,1782.9508349368782,1675.8901806631218
1/5/2018,1/5/2018 0:00,13194.24571,11379.58109,1814.664625,11034.43593,9708.330373,1326.105558,25412.5769,27442.21456,-2029.637659,37839.68718,38950.81971,-1111.132523,1793.890015,1803.930054,1787.339966,1795.449951,1795.449951,12718100.0,1320.300049,1320.300049,1320.300049,1320.300049,1320.300049,1.0,1320.300049,1320.300049,1320.300049,1320.300049,1320.300049,1.0,23.085812701210507,72.0,91.206867096231,19.622636717770774,81.09221433607713,1757.1450197499998,1742.2300415,1744.975037,1769.3150025,1753.21397948,1762.0000608048924,1743.9857780002676,1725.520370269327,1718.2837579825257,1734.21050415,1793.1039740424449,1675.317034257555
1/8/2018,1/8/2018 0:00,8952.510676,8345.181642,607.329034,11125.2391,9876.126156,1249.112943,24168.57125,27500.3279,-3331.756641,34104.26431,32628.94965,1475.314664,1799.589966,1813.170044,1792.810059,1792.810059,1792.810059,12087600.0,1319.900024,1319.900024,1314.599976,1318.599976,1318.599976,41.0,1319.900024,1319.900024,1314.599976,1318.599976,1318.599976,41.0,25.29195426294608,76.0,80.42497544226747,21.001338645482974,78.88301509223763,1761.7650147499999,1746.8500365,1749.595032,1773.9349975,1763.357194384,1767.6018786585482,1748.6357095240517,1728.1591815920988,1719.7595263195053,1738.9705078499999,1800.5876501108185,1677.3533655891813
